Date;Distance to Obstacle;IR Sensor Left;IR Sensor Middle;IR Sensor Right;
Jul  2 16:11:11 2020;55;0;0;0;
Thu Jul  2 16:11:11 2020;55;0;0;0;
Thu Jul  2 16:11:12 2020;59;0;0;0;
Thu Jul  2 16:11:13 2020;59;0;0;0;
Thu Jul  2 16:11:13 2020;45;0;0;0;
Thu Jul  2 16:11:14 2020;59;0;0;0;
Thu Jul  2 16:11:14 2020;59;0;0;0;
Thu Jul  2 16:11:15 2020;60;0;0;0;
Thu Jul  2 16:11:15 2020;52;0;0;0;
Thu Jul  2 16:11:16 2020;52;0;0;0;
Thu Jul  2 16:11:17 2020;58;0;0;0;
Thu Jul  2 16:11:18 2020;54;0;0;0;
Thu Jul  2 16:11:18 2020;53;0;0;0;
Thu Jul  2 16:11:19 2020;56;0;0;0;
Thu Jul  2 16:11:20 2020;59;0;0;0;
Thu Jul  2 16:11:20 2020;58;1;1;1;
Thu Jul  2 16:11:21 2020;76;1;1;1;
Thu Jul  2 16:11:22 2020;75;1;1;1;
Thu Jul  2 16:11:23 2020;80;1;1;1;
Thu Jul  2 16:11:24 2020;49;1;1;1;
Thu Jul  2 16:11:24 2020;77;1;1;1;
Thu Jul  2 16:11:25 2020;78;1;1;1;
Thu Jul  2 16:11:26 2020;59;1;1;1;
Thu Jul  2 16:11:26 2020;72;0;0;0;
Thu Jul  2 16:11:27 2020;60;0;0;0;
Thu Jul  2 16:11:27 2020;80;0;0;0;
Thu Jul  2 16:11:28 2020;80;0;0;0;
Thu Jul  2 16:11:28 2020;80;0;0;0;
Thu Jul  2 16:11:29 2020;61;0;0;0;
Thu Jul  2 16:11:30 2020;84;0;0;0;
Thu Jul  2 16:11:30 2020;78;0;0;0;
Thu Jul  2 16:11:31 2020;80;0;0;0;
Thu Jul  2 16:11:31 2020;60;0;0;0;
Thu Jul  2 16:11:32 2020;80;0;0;0;
