Date;Distance to Obstacle;IR Sensor Left;IR Sensor Middle;IR Sensor Right;
 Jul  2 16:59:56 2020;79;0;0;0;
Thu Jul  2 16:59:57 2020;128;0;0;0;
Thu Jul  2 16:59:57 2020;126;0;0;0;
Thu Jul  2 16:59:58 2020;63;0;0;0;
Thu Jul  2 16:59:58 2020;78;0;0;0;
Thu Jul  2 16:59:59 2020;114;0;0;0;
Thu Jul  2 16:59:59 2020;118;0;0;0;
Thu Jul  2 17:00:00 2020;126;0;0;0;
Thu Jul  2 17:00:00 2020;127;0;0;0;
Thu Jul  2 17:00:01 2020;111;0;0;0;
Thu Jul  2 17:00:01 2020;126;0;0;0;
Thu Jul  2 17:00:02 2020;127;0;0;0;
Thu Jul  2 17:00:03 2020;126;0;0;0;
Thu Jul  2 17:00:03 2020;128;0;0;0;
Thu Jul  2 17:00:04 2020;127;0;0;0;
Thu Jul  2 17:00:04 2020;128;0;0;0;
Thu Jul  2 17:00:05 2020;19;0;0;0;
Thu Jul  2 17:00:05 2020;64;0;0;0;
Thu Jul  2 17:00:06 2020;55;0;0;0;
Thu Jul  2 17:00:06 2020;89;0;0;0;
Thu Jul  2 17:00:07 2020;89;0;0;0;
Thu Jul  2 17:00:07 2020;227;0;0;0;
Thu Jul  2 17:00:08 2020;263;0;0;0;
Thu Jul  2 17:00:09 2020;235;0;0;0;
Thu Jul  2 17:00:09 2020;25;0;0;0;
Thu Jul  2 17:00:10 2020;9;0;0;0;
Thu Jul  2 17:00:11 2020;64;0;0;0;
Thu Jul  2 17:00:12 2020;11;0;0;0;
Thu Jul  2 17:00:12 2020;32;0;0;0;
Thu Jul  2 17:00:13 2020;37;0;0;0;
Thu Jul  2 17:00:13 2020;5;0;0;0;
Thu Jul  2 17:00:14 2020;6;0;0;0;
Thu Jul  2 17:00:14 2020;72;0;0;0;
Thu Jul  2 17:00:15 2020;8;0;0;0;
Thu Jul  2 17:00:15 2020;5;0;0;0;
Thu Jul  2 17:00:16 2020;67;0;0;0;
Thu Jul  2 17:00:16 2020;7;0;0;0;
Thu Jul  2 17:00:17 2020;22;0;0;0;
Thu Jul  2 17:00:17 2020;263;0;0;0;
Thu Jul  2 17:00:18 2020;242;0;0;0;
Thu Jul  2 17:00:18 2020;243;0;0;0;
Thu Jul  2 17:00:19 2020;262;0;0;0;
Thu Jul  2 17:00:20 2020;262;0;0;0;
Thu Jul  2 17:00:20 2020;22;0;0;0;
Thu Jul  2 17:00:21 2020;21;0;0;0;
Thu Jul  2 17:00:21 2020;8;0;0;0;
Thu Jul  2 17:00:22 2020;11;0;0;0;
Thu Jul  2 17:00:22 2020;10;0;0;0;
Thu Jul  2 17:00:23 2020;11;0;0;0;
Thu Jul  2 17:00:23 2020;10;0;0;0;
Thu Jul  2 17:00:24 2020;10;0;0;0;
Thu Jul  2 17:00:25 2020;9;0;0;0;
Thu Jul  2 17:00:25 2020;9;0;0;0;
Thu Jul  2 17:00:26 2020;10;0;0;0;
Thu Jul  2 17:00:26 2020;9;0;0;0;
Thu Jul  2 17:00:27 2020;330;0;0;0;
Thu Jul  2 17:00:27 2020;127;0;0;0;
Thu Jul  2 17:00:28 2020;116;0;0;0;
Thu Jul  2 17:00:28 2020;132;0;0;0;
Thu Jul  2 17:00:29 2020;116;0;0;0;
Thu Jul  2 17:00:29 2020;66;0;0;0;
Thu Jul  2 17:00:30 2020;115;0;0;0;
Thu Jul  2 17:00:30 2020;31;0;0;0;
